3.98	-97.85	43.01	1982	11	15	2	58	22.9	2.48	NaN	NaN	NaN	NaN	1	NaN	4.3124e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.97	-70.049	47.785	2012	12	12	17	46	6	1.27	0.79467	0.046823	-2.0961	0.051203	96	107.24	0.00065574	1.3972	0.85878	0.038964	2.9931	0.070555	18.002	1.6696	1.8785	1.4839
3.97	-80.8	46.58	1984	6	20	14	12	27	2.47	NaN	NaN	NaN	NaN	2	NaN	0	0	NaN	NaN	NaN	NaN	2.143	NaN	NaN	NaN
3.97	-74.4	45.5	1991	5	17	18	8	47	1.37	NaN	NaN	NaN	NaN	16	NaN	5.9565e-05	0.13865	NaN	NaN	NaN	NaN	-0.85722	NaN	NaN	NaN
3.96	-66.07	49.8	2013	9	21	14	48	23	1.17	1.0161	0.22148	-2.497	0.43099	14	323.57	3.3588e-05	0.058305	1.0155	0.16927	2.1675	0.26366	1.7544	2.1692	5.8518	0.8041
3.96	-82.53	33.91	1974	8	2	8	52	11	2.5	0.79521	0.055001	-1.287	0.15895	9	5242.7	5.9418e-05	0.066667	0.61648	0.072657	2.428	0.22722	2.193	0.41029	0.59161	0.28454
3.96	-80.145	32.9	1974	11	22	5	25	0	2.42	0.80666	0.034033	-2.442	0.07642	23	354.87	0.00031857	0.88482	1.3011	0.10461	4.6125	0.29355	2.193	0.3645	0.43463	0.30569
3.95	-81.64	49.64	1980	4	13	22	40	23	2.5	NaN	NaN	NaN	NaN	1	NaN	7.242e-05	0.2	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.94	-74.645	42.584	1991	6	17	8	53	19	2.47	NaN	NaN	NaN	NaN	1	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.93	-101.75	43.1	2003	5	25	7	32	33	2.6	NaN	NaN	NaN	NaN	0	NaN	1.0106e-05	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.9	-73.596	46.092	1993	9	23	6	45	28	2.17	NaN	NaN	NaN	NaN	11	NaN	2.74e-05	0.024514	NaN	NaN	NaN	NaN	-1.0071	NaN	NaN	NaN
3.9	-74.11	46.35	1978	2	18	14	48	25	2.47	NaN	NaN	NaN	NaN	3	NaN	0	0	NaN	NaN	NaN	NaN	1.2589	NaN	NaN	NaN
3.89	-89.46	36.14	2005	6	2	11	35	10	2.24	0.7161	0.024629	-3.2376	0.016167	210	54.435	0.0024613	5.428	1.8755	0.070403	6.5832	0.17716	32.206	0.71938	0.74666	0.69309
3.88	-104.21	45.02	2009	9	25	15	11	34.1	2.38	NaN	NaN	NaN	NaN	0	NaN	7.8148e-07	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.88	-98.51	34.94	1998	4	28	14	13	1	2.48	NaN	NaN	NaN	NaN	4	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.88	-73.46	45.2	1993	11	16	9	31	44	1.47	1.0542	0.041763	-1.3088	0.08367	16	1014.7	3.1863e-05	0.056368	0.70283	0.067268	2.3274	0.14309	7.9095	2.4268	2.9425	2.0016
3.88	-78.324	37.868	1984	8	17	18	5	46.9	2.24	NaN	NaN	NaN	NaN	4	NaN	0.0001179	0.26073	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.88	-91.04	38.1	1976	12	11	7	5	1.1	2.38	NaN	NaN	NaN	NaN	0	NaN	1.1922e-05	0.031637	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.87	-68.187	44.349	2006	9	22	10	39	21.4	1.17	0.96373	0.020122	-1.1245	0.029288	29	23242	4.6333e-06	0.0131	0.59018	0.032178	2.0699	0.063322	35.343	2.9445	3.1499	2.7525
3.86	-90.93	38.12	2011	6	7	8	10	34	2.5	NaN	NaN	NaN	NaN	2	NaN	3.8117e-05	0.066667	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.86	-89.41	36.85	2012	2	21	9	58	43	2.24	0.81532	0.06265	-2.1555	0.096292	71	221.92	0.00073369	1.5468	1.3915	0.066619	5.0833	0.17872	9.6627	1.2555	1.5671	1.0058
3.85	-89.19	37.36	1994	2	5	14	55	37	2.47	NaN	NaN	NaN	NaN	0	NaN	0.00017572	0.35652	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.85	-64.654	50.074	1989	2	10	1	4	0	1.97	NaN	NaN	NaN	NaN	9	NaN	1.9411e-05	0.016878	NaN	NaN	NaN	NaN	2.8251	NaN	NaN	NaN
3.85	-102.73	38.47	2009	8	17	0	22	12	2.5	NaN	NaN	NaN	NaN	0	NaN	2.3291e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.84	-74.3	40.3	1979	1	30	16	30	0	2.5	NaN	NaN	NaN	NaN	2	NaN	3.5588e-05	0.092308	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.84	-83.2	33.2	1975	4	1	21	9	0	2.55	NaN	NaN	NaN	NaN	4	NaN	0.00025914	0.62734	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.84	-90.636	35.205	2012	10	29	12	39	24	2.32	NaN	NaN	NaN	NaN	5	NaN	6.1967e-05	0.12858	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.82	-85.89	40.43	2010	12	30	12	55	21	2.48	NaN	NaN	NaN	NaN	0	NaN	1.674e-06	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.81	-60.82	52.03	2012	7	8	11	13	38	1.77	NaN	NaN	NaN	NaN	2	NaN	3.3837e-07	0	NaN	NaN	NaN	NaN	1.5488	NaN	NaN	NaN
3.8	-88.49	41.97	2010	2	10	9	59	35	2.28	NaN	NaN	NaN	NaN	2	NaN	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN
3.79	-63.348	50.033	2001	3	24	11	57	18.3	1.57	NaN	NaN	NaN	NaN	6	NaN	4.6171e-06	0.011639	NaN	NaN	NaN	NaN	1.6218	NaN	NaN	NaN
3.78	-90	35.97	1996	11	29	5	41	32	2.24	0.83748	0.068531	-2.5162	0.1004	267	72.811	0.001111	2.3486	1.541	0.050046	5.9244	0.13153	6.6383	0.71933	0.90642	0.57085
3.78	-80.116	33.05	1992	8	21	16	31	55.1	2.2	0.70838	0.16694	-2.5201	0.36228	94	310.49	0.00040424	1.0133	1.344	0.05117	5.085	0.13485	4.9788	0.40132	0.9242	0.17427
3.78	-86.434	38.133	1990	1	24	18	20	24.4	2.58	NaN	NaN	NaN	NaN	3	NaN	0	0	NaN	NaN	NaN	NaN	4.9788	NaN	NaN	NaN
